,Cust_ID,Year,Revenue,Product,Customer,# Transactions
553,CUSTOMER 3396,2010,5068.540000000001,FraudFinder,CUSTOMER 3396,2423
558,CUSTOMER 2894,2012,3580.8099999999995,FraudFinder,CUSTOMER 2894,264
559,CUSTOMER 2406,2010,4993.3099999999995,FraudFinder,CUSTOMER 2406,466995
563,CUSTOMER 2406,2011,3631.4699999999993,FraudFinder,CUSTOMER 2406,489793
567,CUSTOMER 2406,2012,2723.6099999999997,FraudFinder,CUSTOMER 2406,3704
569,CUSTOMER 2406,2011,0.06,FraudFinder 2.0.,CUSTOMER 2406,489793
575,CUSTOMER 2406,2011,0.06,Other,CUSTOMER 2406,489793
581,CUSTOMER 262,2012,3995.26,FraudFinder,CUSTOMER 262,402
585,CUSTOMER 2552,2012,4881.950000000001,FraudFinder,CUSTOMER 2552,34748
587,CUSTOMER 2552,2011,4438.2,FraudFinder,CUSTOMER 2552,31013
589,CUSTOMER 2552,2010,4034.6499999999996,FraudFinder,CUSTOMER 2552,52480
597,CUSTOMER 3304,2012,3854.79,FraudFinder,CUSTOMER 3304,3
600,CUSTOMER 3808,2012,1248.42,FraudFinder,CUSTOMER 3808,1885034
605,CUSTOMER 3842,2011,3251.9900000000002,FraudFinder,CUSTOMER 3842,55779
609,CUSTOMER 3537,2011,4677.12,FraudFinder,CUSTOMER 3537,5246454
610,CUSTOMER 3537,2011,4677.12,FraudFinder,CUSTOMER 3537,174769
613,CUSTOMER 3537,2010,3756.8200000000006,FraudFinder,CUSTOMER 3537,42321
614,CUSTOMER 3537,2010,3756.8200000000006,FraudFinder,CUSTOMER 3537,3221
619,CUSTOMER 2849,2012,4655.53,FraudFinder,CUSTOMER 2849,69647
623,CUSTOMER 3536,2011,4652.9800000000005,FraudFinder,CUSTOMER 3536,42326
628,CUSTOMER 3536,2012,307.08,FraudFinder,CUSTOMER 3536,9
630,CUSTOMER 3536,2012,-625.69,FraudFinder 2.0.,CUSTOMER 3536,9
632,CUSTOMER 3536,2012,-625.69,Other,CUSTOMER 3536,9
639,CUSTOMER 2396,2010,4611.58,FraudFinder,CUSTOMER 2396,15195935
642,CUSTOMER 1858,2010,4609.579999999999,FraudFinder,CUSTOMER 1858,5398283
645,CUSTOMER 2059,2010,4603.139999999999,FraudFinder,CUSTOMER 2059,2154185
649,CUSTOMER 2059,2011,2787.42,FraudFinder,CUSTOMER 2059,688125
663,CUSTOMER 82,2011,4595.14,FraudFinder,CUSTOMER 82,852519
668,CUSTOMER 82,2012,793.9300000000001,FraudFinder,CUSTOMER 82,861355
675,CUSTOMER 677,2012,781.26,FraudFinder,CUSTOMER 677,37080623
680,CUSTOMER 3105,2011,3760.48,FraudFinder,CUSTOMER 3105,37
686,CUSTOMER 1532,2011,4393.92,FraudFinder,CUSTOMER 1532,8245280
691,CUSTOMER 1532,2012,1531.21,FraudFinder,CUSTOMER 1532,7936625
692,CUSTOMER 782,2010,4393.299999999999,FraudFinder,CUSTOMER 782,2
696,CUSTOMER 782,2011,532.6800000000001,FraudFinder,CUSTOMER 782,6804883
700,CUSTOMER 484,2011,2778.8700000000003,FraudFinder,CUSTOMER 484,3
703,CUSTOMER 709,2010,4372.93,FraudFinder,CUSTOMER 709,78
710,CUSTOMER 709,2011,2943.3400000000006,FraudFinder,CUSTOMER 709,778
716,CUSTOMER 709,2012,2207.05,FraudFinder,CUSTOMER 709,688
723,CUSTOMER 1044,2011,4348.409999999998,FraudFinder,CUSTOMER 1044,4241859
725,CUSTOMER 1044,2010,3827.34,FraudFinder,CUSTOMER 1044,4117712
730,CUSTOMER 1044,2012,3499.9000000000005,FraudFinder,CUSTOMER 1044,4071397
732,CUSTOMER 1044,2011,-0.02,FraudFinder 2.0.,CUSTOMER 1044,4241859
735,CUSTOMER 1044,2011,-0.02,Other,CUSTOMER 1044,4241859
745,CUSTOMER 2947,2010,4291.330000000001,FraudFinder,CUSTOMER 2947,5842
748,CUSTOMER 1679,2010,4280.43,FraudFinder,CUSTOMER 1679,5035319
749,CUSTOMER 1679,2010,4280.43,FraudFinder,CUSTOMER 1679,17502
752,CUSTOMER 2119,2010,4256.68,FraudFinder,CUSTOMER 2119,306559
756,CUSTOMER 2119,2011,1463.28,FraudFinder,CUSTOMER 2119,4247163
766,CUSTOMER 1573,2012,1117.32,FraudFinder,CUSTOMER 1573,2258285
783,CUSTOMER 866,2012,4102.61,FraudFinder,CUSTOMER 866,131958
790,CUSTOMER 3347,2011,3572.82,FraudFinder,CUSTOMER 3347,149
792,CUSTOMER 3347,2011,-0.03,FraudFinder 2.0.,CUSTOMER 3347,149
794,CUSTOMER 3347,2011,-0.03,Other,CUSTOMER 3347,149
800,CUSTOMER 3617,2010,3971.8199999999997,FraudFinder,CUSTOMER 3617,4372
804,CUSTOMER 3617,2011,1720.1499999999999,FraudFinder,CUSTOMER 3617,1603210
806,CUSTOMER 2614,2011,3885.7999999999997,FraudFinder,CUSTOMER 2614,862915
811,CUSTOMER 2614,2012,338.58,FraudFinder,CUSTOMER 2614,779484
824,CUSTOMER 2249,2010,3855.969999999999,FraudFinder,CUSTOMER 2249,915779
828,CUSTOMER 2249,2011,2041.7200000000003,FraudFinder,CUSTOMER 2249,1049994
832,CUSTOMER 2249,2012,758.55,FraudFinder,CUSTOMER 2249,1195623
837,CUSTOMER 2127,2012,3812.94,FraudFinder,CUSTOMER 2127,887762
839,CUSTOMER 2127,2011,3466.3299999999995,FraudFinder,CUSTOMER 2127,810224
841,CUSTOMER 2127,2010,2462.9,FraudFinder,CUSTOMER 2127,619806
847,CUSTOMER 4030,2010,3810.9999999999995,FraudFinder,CUSTOMER 4030,1302727
850,CUSTOMER 2140,2010,3804.5699999999993,FraudFinder,CUSTOMER 2140,1980028
855,CUSTOMER 349,2011,1607.6399999999999,FraudFinder,CUSTOMER 349,1007860
859,CUSTOMER 971,2010,3412.63,FraudFinder,CUSTOMER 971,127860
866,CUSTOMER 111,2011,625.34,FraudFinder,CUSTOMER 111,2
867,CUSTOMER 2109,2010,3691.49,FraudFinder,CUSTOMER 2109,2145092
871,CUSTOMER 2109,2011,756.55,FraudFinder,CUSTOMER 2109,3473776
884,CUSTOMER 2266,2012,677.16,FraudFinder,CUSTOMER 2266,179715
887,CUSTOMER 934,2011,3328.859999999999,FraudFinder,CUSTOMER 934,908
892,CUSTOMER 693,2012,2921.2200000000003,FraudFinder,CUSTOMER 693,15881
899,CUSTOMER 68,2011,922.26,FraudFinder,CUSTOMER 68,4669941
903,CUSTOMER 201,2011,302.63,FraudFinder,CUSTOMER 201,4
906,CUSTOMER 122,2012,1181.1,FraudFinder,CUSTOMER 122,944
907,CUSTOMER 878,2010,3587.4199999999996,FraudFinder,CUSTOMER 878,43120
910,CUSTOMER 1455,2011,3579.8999999999996,FraudFinder,CUSTOMER 1455,137453
915,CUSTOMER 1455,2012,1015.74,FraudFinder,CUSTOMER 1455,347580
916,CUSTOMER 3542,2010,3550.4400000000005,FraudFinder,CUSTOMER 3542,170851
921,CUSTOMER 2413,2012,904.3500000000001,FraudFinder,CUSTOMER 2413,160187
922,CUSTOMER 1869,2010,3464.59,FraudFinder,CUSTOMER 1869,696796
926,CUSTOMER 1869,2011,288.72,FraudFinder,CUSTOMER 1869,1778411
928,CUSTOMER 1615,2012,3381.4600000000005,FraudFinder,CUSTOMER 1615,32058
936,CUSTOMER 912,2012,3315.9900000000002,FraudFinder,CUSTOMER 912,174206
938,CUSTOMER 912,2011,3014.53,FraudFinder,CUSTOMER 912,139245
940,CUSTOMER 912,2010,2297.14,FraudFinder,CUSTOMER 912,207127
946,CUSTOMER 1823,2012,3249.16,FraudFinder,CUSTOMER 1823,19458
959,CUSTOMER 2264,2012,3174.21,FraudFinder,CUSTOMER 2264,4998
963,CUSTOMER 117,2010,3112.2,FraudFinder,CUSTOMER 117,180624
967,CUSTOMER 117,2011,1704.7599999999998,FraudFinder,CUSTOMER 117,273952
970,CUSTOMER 166,2012,3100.7700000000004,FraudFinder,CUSTOMER 166,363
971,CUSTOMER 166,2011,2818.95,FraudFinder,CUSTOMER 166,311
982,CUSTOMER 2049,2011,2480.31,FraudFinder,CUSTOMER 2049,1005041
985,CUSTOMER 2715,2012,3077.3400000000006,FraudFinder,CUSTOMER 2715,3001
986,CUSTOMER 2715,2011,2715.18,FraudFinder,CUSTOMER 2715,4603
993,CUSTOMER 405,2012,3077.3400000000006,FraudFinder,CUSTOMER 405,66850
994,CUSTOMER 405,2011,2680.0699999999997,FraudFinder,CUSTOMER 405,133422
1001,CUSTOMER 178,2012,3053.8500000000004,FraudFinder,CUSTOMER 178,30223
1002,CUSTOMER 178,2011,2541.22,FraudFinder,CUSTOMER 178,106791
1009,CUSTOMER 3620,2012,3053.8500000000004,FraudFinder,CUSTOMER 3620,182510
1010,CUSTOMER 3620,2011,2541.22,FraudFinder,CUSTOMER 3620,492187
1027,CUSTOMER 786,2012,3030.45,FraudFinder,CUSTOMER 786,48022
1029,CUSTOMER 786,2011,2856.26,FraudFinder,CUSTOMER 786,117
1030,CUSTOMER 786,2011,2856.26,FraudFinder,CUSTOMER 786,76576
1032,CUSTOMER 786,2010,2110.6800000000003,FraudFinder,CUSTOMER 786,30388
1044,CUSTOMER 3292,2012,3030.36,FraudFinder,CUSTOMER 3292,113703
1053,CUSTOMER 3292,2011,2598.4500000000003,FraudFinder,CUSTOMER 3292,46085
1060,CUSTOMER 3960,2010,3026.4400000000005,FraudFinder,CUSTOMER 3960,5259986
1063,CUSTOMER 708,2011,3015.7699999999995,FraudFinder,CUSTOMER 708,379668
1066,CUSTOMER 708,2012,2272.99,FraudFinder,CUSTOMER 708,1816648
1071,CUSTOMER 1369,2011,770.0699999999999,FraudFinder,CUSTOMER 1369,7146
1074,CUSTOMER 1280,2012,3006.87,FraudFinder,CUSTOMER 1280,1301702
1075,CUSTOMER 1280,2011,2403.9600000000005,FraudFinder,CUSTOMER 1280,1067304
1081,CUSTOMER 2223,2010,3004.2799999999993,FraudFinder,CUSTOMER 2223,2722840
1085,CUSTOMER 2223,2011,2311.02,FraudFinder,CUSTOMER 2223,3793272
1094,CUSTOMER 3838,2011,2724.2700000000004,FraudFinder,CUSTOMER 3838,59718
1096,CUSTOMER 3838,2010,2718.98,FraudFinder,CUSTOMER 3838,49658
1104,CUSTOMER 3838,2010,1098.43,FraudFinder 2.0.,CUSTOMER 3838,49658
1108,CUSTOMER 3838,2010,1098.43,Other,CUSTOMER 3838,49658
1111,CUSTOMER 3046,2010,2990.87,FraudFinder,CUSTOMER 3046,18
1115,CUSTOMER 3046,2011,2639.05,FraudFinder,CUSTOMER 3046,499124
1118,CUSTOMER 3046,2011,-0.04,FraudFinder 2.0.,CUSTOMER 3046,499124
1121,CUSTOMER 3046,2011,-0.04,Other,CUSTOMER 3046,499124
1131,CUSTOMER 243,2011,1098.4499999999998,FraudFinder,CUSTOMER 243,64589
1133,CUSTOMER 243,2010,986.2499999999998,FraudFinder,CUSTOMER 243,74904
1137,CUSTOMER 2359,2012,2959.89,FraudFinder,CUSTOMER 2359,1186
1138,CUSTOMER 2359,2011,2141.7599999999998,FraudFinder,CUSTOMER 2359,712
1144,CUSTOMER 1417,2011,2914.58,FraudFinder,CUSTOMER 1417,465820
1149,CUSTOMER 1417,2012,812.97,FraudFinder,CUSTOMER 1417,329298
1150,CUSTOMER 3811,2012,2901.12,FraudFinder,CUSTOMER 3811,1766456
1160,CUSTOMER 3534,2012,480.38,FraudFinder,CUSTOMER 3534,8219
1163,CUSTOMER 259,2012,1000.4,FraudFinder,CUSTOMER 259,1364390
1166,CUSTOMER 861,2010,2862.58,FraudFinder,CUSTOMER 861,152320
1170,CUSTOMER 861,2011,732.27,FraudFinder,CUSTOMER 861,154860
1179,CUSTOMER 2381,2011,2818.95,FraudFinder,CUSTOMER 2381,343229
1183,CUSTOMER 331,2011,2818.95,FraudFinder,CUSTOMER 331,22960
1187,CUSTOMER 2281,2010,2809.94,FraudFinder,CUSTOMER 2281,1
1193,CUSTOMER 2073,2012,2742.1,FraudFinder,CUSTOMER 2073,1602936
1194,CUSTOMER 2073,2011,2433.58,FraudFinder,CUSTOMER 2073,247351
1202,CUSTOMER 1724,2012,2741.21,FraudFinder,CUSTOMER 1724,5
1212,CUSTOMER 2968,2010,2738.0799999999995,FraudFinder,CUSTOMER 2968,362618
1216,CUSTOMER 2968,2011,2708.64,FraudFinder,CUSTOMER 2968,75867
1219,CUSTOMER 2229,2011,2735.3199999999997,FraudFinder,CUSTOMER 2229,22756
1221,CUSTOMER 2229,2010,1893.6799999999996,FraudFinder,CUSTOMER 2229,199115
1226,CUSTOMER 2229,2012,1409.49,FraudFinder,CUSTOMER 2229,45745
1229,CUSTOMER 2229,2012,-1174.54,FraudFinder 2.0.,CUSTOMER 2229,45745
1235,CUSTOMER 2229,2012,-1174.54,Other,CUSTOMER 2229,45745
1241,CUSTOMER 784,2011,697.4399999999999,FraudFinder,CUSTOMER 784,1735686
1244,CUSTOMER 401,2011,2716.8099999999995,FraudFinder,CUSTOMER 401,974
1251,CUSTOMER 385,2011,2708.64,FraudFinder,CUSTOMER 385,33655
1256,CUSTOMER 1444,2010,2704.14,FraudFinder,CUSTOMER 1444,62456
1269,CUSTOMER 711,2011,2272.9999999999995,FraudFinder,CUSTOMER 711,648708
1271,CUSTOMER 1238,2010,2630.9400000000005,FraudFinder,CUSTOMER 1238,2600446
1275,CUSTOMER 1238,2011,1988.8799999999997,FraudFinder,CUSTOMER 1238,2360782
1283,CUSTOMER 2769,2010,2622.98,FraudFinder,CUSTOMER 2769,578288
1287,CUSTOMER 2769,2011,443.9,FraudFinder,CUSTOMER 2769,816983
1301,CUSTOMER 3903,2011,665.8499999999999,FraudFinder,CUSTOMER 3903,286114
1305,CUSTOMER 1161,2011,2345.1399999999994,FraudFinder,CUSTOMER 1161,6200
1311,CUSTOMER 3781,2010,2576.38,FraudFinder,CUSTOMER 3781,1399655
1315,CUSTOMER 3781,2011,2031.4799999999998,FraudFinder,CUSTOMER 3781,2309187
1317,CUSTOMER 731,2010,2562.44,FraudFinder,CUSTOMER 731,231896
1321,CUSTOMER 731,2011,1109.75,FraudFinder,CUSTOMER 731,173378
1329,CUSTOMER 3949,2010,1690.9600000000003,FraudFinder,CUSTOMER 3949,1
1342,CUSTOMER 399,2011,758.52,FraudFinder,CUSTOMER 399,1
1344,CUSTOMER 399,2010,706.45,FraudFinder,CUSTOMER 399,4
1355,CUSTOMER 973,2012,2524.0299999999997,FraudFinder,CUSTOMER 973,2173415
1357,CUSTOMER 973,2011,2294.5700000000006,FraudFinder,CUSTOMER 973,2068293
1359,CUSTOMER 973,2010,1632.5,FraudFinder,CUSTOMER 973,19
1367,CUSTOMER 1306,2012,2524.0299999999997,FraudFinder,CUSTOMER 1306,161962
1369,CUSTOMER 1306,2011,2294.5700000000006,FraudFinder,CUSTOMER 1306,4034
1379,CUSTOMER 2913,2012,2524.0299999999997,FraudFinder,CUSTOMER 2913,84
1381,CUSTOMER 2913,2011,2294.5700000000006,FraudFinder,CUSTOMER 2913,176
1383,CUSTOMER 2913,2010,1632.5,FraudFinder,CUSTOMER 2913,2
1389,CUSTOMER 1961,2010,2503.58,FraudFinder,CUSTOMER 1961,3275589
1393,CUSTOMER 1961,2011,423.7,FraudFinder,CUSTOMER 1961,3898393
1396,CUSTOMER 672,2012,2503.1699999999996,FraudFinder,CUSTOMER 672,299789
1397,CUSTOMER 672,2011,2275.5900000000006,FraudFinder,CUSTOMER 672,254153
1403,CUSTOMER 2783,2010,2484.33,FraudFinder,CUSTOMER 2783,1149766
1407,CUSTOMER 2783,2011,635.54,FraudFinder,CUSTOMER 2783,1076952
1410,CUSTOMER 1150,2012,2484.2599999999993,FraudFinder,CUSTOMER 1150,190
1411,CUSTOMER 1150,2011,2186.7900000000004,FraudFinder,CUSTOMER 1150,251
1419,CUSTOMER 3243,2011,1963.2400000000002,FraudFinder,CUSTOMER 3243,78
