Customer,# Transactions,Year
CUSTOMER 870,398904,2010
CUSTOMER 871,0,2010
CUSTOMER 873,1966,2010
CUSTOMER 875,306230,2010
CUSTOMER 878,43120,2010
CUSTOMER 884,6,2010
CUSTOMER 885,57607,2010
CUSTOMER 889,19865,2010
CUSTOMER 890,166670,2010
CUSTOMER 894,172852,2010
CUSTOMER 895,0,2010
CUSTOMER 898,15582,2010
CUSTOMER 899,0,2010
CUSTOMER 899,1,2010
CUSTOMER 901,706,2010
CUSTOMER 907,156307,2010
CUSTOMER 912,207127,2010
CUSTOMER 915,2412,2010
CUSTOMER 917,118096,2010
CUSTOMER 924,523100,2010
CUSTOMER 926,10706,2010
CUSTOMER 929,1204,2010
CUSTOMER 930,1975420,2010
CUSTOMER 935,1141380,2010
CUSTOMER 936,242361,2010
CUSTOMER 940,24,2010
CUSTOMER 943,1242509,2010
CUSTOMER 947,156485,2010
CUSTOMER 949,161760,2010
CUSTOMER 953,413484,2010
CUSTOMER 960,505,2010
CUSTOMER 965,0,2010
CUSTOMER 971,127860,2010
CUSTOMER 973,19,2010
CUSTOMER 976,486847,2010
CUSTOMER 977,1067,2010
CUSTOMER 978,0,2010
CUSTOMER 978,0,2010
CUSTOMER 982,0,2010
CUSTOMER 984,168431,2010
CUSTOMER 987,0,2010
CUSTOMER 990,16675,2010
CUSTOMER 993,1132460,2010
CUSTOMER 1001,0,2010
CUSTOMER 1002,33787,2010
CUSTOMER 1003,3125191,2010
CUSTOMER 1006,1565731,2010
CUSTOMER 1009,2004500,2010
CUSTOMER 1010,4180043,2010
CUSTOMER 1011,710481,2010
CUSTOMER 1012,928684,2010
CUSTOMER 1013,52484,2010
CUSTOMER 1015,758,2010
CUSTOMER 1020,52243,2010
CUSTOMER 1021,0,2010
CUSTOMER 1022,539021,2010
CUSTOMER 1025,403779,2010
CUSTOMER 1032,387059,2010
CUSTOMER 1035,14230,2010
CUSTOMER 1037,1371,2010
CUSTOMER 1042,59,2010
CUSTOMER 1044,4117712,2010
CUSTOMER 1047,3,2010
CUSTOMER 1050,31681,2010
CUSTOMER 1055,3,2010
CUSTOMER 1058,1637648,2010
CUSTOMER 1067,110802,2010
CUSTOMER 1079,10709,2010
CUSTOMER 1082,456,2010
CUSTOMER 1084,1710,2010
CUSTOMER 1085,311745,2010
CUSTOMER 1086,850392,2010
CUSTOMER 1092,0,2010
CUSTOMER 1095,6719,2010
CUSTOMER 1100,1148815,2010
CUSTOMER 1101,391639,2010
CUSTOMER 1103,141436,2010
CUSTOMER 1106,147,2010
CUSTOMER 1110,1293,2010
CUSTOMER 1112,280102,2010
CUSTOMER 1117,423010,2010
CUSTOMER 1118,276735,2010
CUSTOMER 1120,0,2010
CUSTOMER 1121,4703,2010
CUSTOMER 1123,378462,2010
CUSTOMER 1125,182,2010
CUSTOMER 1129,0,2010
CUSTOMER 1131,2,2010
CUSTOMER 1134,62196,2010
CUSTOMER 1141,1636823,2010
CUSTOMER 1145,179828,2010
CUSTOMER 1149,0,2010
CUSTOMER 1153,0,2010
CUSTOMER 1155,185984,2010
CUSTOMER 1165,174817,2010
CUSTOMER 1166,0,2010
CUSTOMER 1171,7886446,2010
CUSTOMER 1172,4,2010
CUSTOMER 1178,27247,2010
CUSTOMER 1180,1382621,2010
CUSTOMER 1181,4,2010
CUSTOMER 1186,3620,2010
CUSTOMER 1187,19,2010
CUSTOMER 1194,173145,2010
CUSTOMER 1195,439486,2010
CUSTOMER 1202,61063,2010
CUSTOMER 1206,0,2010
CUSTOMER 1208,42,2010
CUSTOMER 1211,1078825,2010
CUSTOMER 1212,4108429,2010
CUSTOMER 1214,652599,2010
CUSTOMER 1217,50,2010
CUSTOMER 1220,125406,2010
CUSTOMER 1224,311760,2010
CUSTOMER 1236,1631,2010
CUSTOMER 1238,2600446,2010
CUSTOMER 1240,237100,2010
CUSTOMER 1245,34397,2010
CUSTOMER 1246,199,2010
CUSTOMER 1247,0,2010
CUSTOMER 1249,0,2010
CUSTOMER 1252,0,2010
CUSTOMER 1253,45805,2010
CUSTOMER 1256,18,2010
CUSTOMER 1258,217,2010
CUSTOMER 1259,287098,2010
CUSTOMER 1263,13442,2010
CUSTOMER 1273,160011,2010
CUSTOMER 1277,90134,2010
CUSTOMER 1281,6533,2010
CUSTOMER 1282,2425,2010
CUSTOMER 1286,0,2010
CUSTOMER 1288,21732,2010
CUSTOMER 1290,27907,2010
CUSTOMER 1292,53145,2010
CUSTOMER 1294,46067,2010
CUSTOMER 1300,0,2010
CUSTOMER 1300,838,2010
CUSTOMER 1304,225114,2010
CUSTOMER 1305,287183,2010
CUSTOMER 1306,0,2010
CUSTOMER 1307,58785,2010
CUSTOMER 1309,11833,2010
CUSTOMER 1310,32595,2010
CUSTOMER 1313,0,2010
CUSTOMER 1323,74914,2010
CUSTOMER 1325,0,2010
CUSTOMER 1330,25200,2010
CUSTOMER 1331,15719,2010
CUSTOMER 1333,324509,2010
CUSTOMER 1336,147776,2010
CUSTOMER 1337,0,2010
CUSTOMER 1339,3318735,2010
CUSTOMER 1341,59906,2010
CUSTOMER 1344,3,2010
CUSTOMER 1347,0,2010
CUSTOMER 1350,0,2010
CUSTOMER 1354,28040,2010
CUSTOMER 1355,1267179,2010
CUSTOMER 1356,169445,2010
CUSTOMER 1358,1449420,2010
CUSTOMER 1362,143334,2010
CUSTOMER 1365,49280,2010
CUSTOMER 1371,40139,2010
CUSTOMER 1375,14629,2010
CUSTOMER 1378,2931,2010
CUSTOMER 1380,17,2010
CUSTOMER 1381,81638,2010
CUSTOMER 1383,8,2010
CUSTOMER 1385,23689,2010
CUSTOMER 1386,175569,2010
CUSTOMER 1386,2,2010
CUSTOMER 1392,1289828,2010
CUSTOMER 1393,176204,2010
CUSTOMER 1398,17602,2010
CUSTOMER 1399,5308135,2010
CUSTOMER 1399,121574,2010
CUSTOMER 1399,11917,2010
CUSTOMER 1401,952,2010
CUSTOMER 1402,202698,2010
CUSTOMER 1402,186843,2010
CUSTOMER 1406,72521,2010
CUSTOMER 1409,59741,2010
CUSTOMER 1411,259209,2010
CUSTOMER 1412,725458,2010
CUSTOMER 1413,333,2010
CUSTOMER 1414,1548,2010
CUSTOMER 1419,89195,2010
CUSTOMER 1420,0,2010
CUSTOMER 1426,26953,2010
CUSTOMER 1429,2287438,2010
CUSTOMER 1432,582324,2010
CUSTOMER 1434,0,2010
CUSTOMER 1441,32994,2010
CUSTOMER 1441,0,2010
CUSTOMER 1444,62456,2010
CUSTOMER 1446,0,2010
CUSTOMER 1452,222,2010
CUSTOMER 1454,0,2010
CUSTOMER 1460,0,2010
CUSTOMER 1461,4406,2010
CUSTOMER 1463,0,2010
CUSTOMER 1464,810,2010
CUSTOMER 1465,805,2010
CUSTOMER 1468,1568,2010
CUSTOMER 1471,57310,2010
CUSTOMER 1473,1996749,2010
CUSTOMER 1475,3669,2010
CUSTOMER 1479,0,2010
CUSTOMER 1480,21146,2010
CUSTOMER 1486,186190,2010
CUSTOMER 1487,177298,2010
CUSTOMER 1489,1,2010
CUSTOMER 1492,2888734,2010
CUSTOMER 1493,5382,2010
CUSTOMER 1494,575637,2010
CUSTOMER 1496,388685,2010
CUSTOMER 1496,3,2010
CUSTOMER 1501,258809,2010
CUSTOMER 1502,138423,2010
CUSTOMER 1503,56072,2010
CUSTOMER 1506,4627,2010
CUSTOMER 1509,74473,2010
CUSTOMER 1513,341194,2010
CUSTOMER 1514,1,2010
CUSTOMER 1522,0,2010
CUSTOMER 1529,0,2010
CUSTOMER 1534,678,2010
CUSTOMER 1536,21179,2010
CUSTOMER 1539,0,2010
CUSTOMER 1541,0,2010
CUSTOMER 1542,117148,2010
CUSTOMER 1543,96075,2010
CUSTOMER 1544,33932,2010
CUSTOMER 1546,0,2010
CUSTOMER 1549,241930,2010
CUSTOMER 1553,0,2010
CUSTOMER 1554,2221730,2010
CUSTOMER 1556,1777965,2010
CUSTOMER 1558,16574,2010
CUSTOMER 1559,46315,2010
CUSTOMER 1560,131205,2010
CUSTOMER 1564,373389,2010
CUSTOMER 1566,0,2010
CUSTOMER 1570,21,2010
CUSTOMER 1571,0,2010
CUSTOMER 1574,0,2010
CUSTOMER 1576,0,2010
CUSTOMER 1578,113986,2010
CUSTOMER 1580,8397,2010
CUSTOMER 1586,0,2010
CUSTOMER 1587,0,2010
CUSTOMER 1593,2255310,2010
CUSTOMER 1596,37982,2010
CUSTOMER 1597,6729,2010
CUSTOMER 1598,1161,2010
CUSTOMER 1602,22,2010
CUSTOMER 1603,16,2010
CUSTOMER 1604,18,2010
CUSTOMER 1607,0,2010
CUSTOMER 1611,4929,2010
CUSTOMER 1614,4,2010
CUSTOMER 1620,73,2010
CUSTOMER 1621,5034,2010
CUSTOMER 1625,11015,2010
CUSTOMER 1626,0,2010
CUSTOMER 1627,4229518,2010
CUSTOMER 1629,413966,2010
CUSTOMER 1630,11979,2010
CUSTOMER 1633,0,2010
CUSTOMER 1637,1890636,2010
CUSTOMER 1642,539059,2010
CUSTOMER 1662,0,2010
CUSTOMER 1663,21163,2010
CUSTOMER 1664,689,2010
CUSTOMER 1665,556930,2010
CUSTOMER 1667,2378,2010
CUSTOMER 1669,1395388,2010
CUSTOMER 1677,2090,2010
CUSTOMER 1679,5035319,2010
CUSTOMER 1679,17502,2010
CUSTOMER 1680,25,2010
CUSTOMER 1681,754766,2010
CUSTOMER 1682,286551,2010
CUSTOMER 1684,30140,2010
CUSTOMER 1686,0,2010
CUSTOMER 1688,0,2010
CUSTOMER 1689,25,2010
CUSTOMER 1690,4633166,2010
CUSTOMER 1700,33,2010
CUSTOMER 1705,619579,2010
CUSTOMER 1708,90420,2010
CUSTOMER 1709,13748,2010
CUSTOMER 1710,0,2010
CUSTOMER 1712,489868,2010
CUSTOMER 1717,3440714,2010
CUSTOMER 1718,7,2010
CUSTOMER 1723,18315,2010
CUSTOMER 1724,0,2010
CUSTOMER 1732,7116212,2010
CUSTOMER 1734,26621,2010
CUSTOMER 1736,1858120,2010
CUSTOMER 1737,86554,2010
CUSTOMER 1742,173432,2010
CUSTOMER 1746,128950,2010
CUSTOMER 1747,7,2010
CUSTOMER 1747,13,2010
CUSTOMER 1752,70041,2010
CUSTOMER 1753,196219,2010
CUSTOMER 1754,255293,2010
CUSTOMER 1756,0,2010
CUSTOMER 1757,229408,2010
CUSTOMER 1769,138,2010
CUSTOMER 1776,208034,2010
CUSTOMER 1781,13,2010
CUSTOMER 1785,209123,2010
CUSTOMER 1786,1121667,2010
CUSTOMER 1788,0,2010
CUSTOMER 1789,58862,2010
CUSTOMER 1791,7554088,2010
CUSTOMER 1792,175396,2010
CUSTOMER 1793,0,2010
CUSTOMER 1796,7,2010
CUSTOMER 1798,49638,2010
CUSTOMER 1801,75,2010
CUSTOMER 1802,108952,2010
CUSTOMER 1807,6659,2010
CUSTOMER 1810,69226,2010
CUSTOMER 1812,0,2010
CUSTOMER 1813,650,2010
CUSTOMER 1815,913903,2010
CUSTOMER 1821,36423,2010
CUSTOMER 1822,0,2010
CUSTOMER 1829,10,2010
CUSTOMER 1832,14088,2010
CUSTOMER 1833,0,2010
CUSTOMER 1835,7361,2010
CUSTOMER 1839,294460,2010
CUSTOMER 1842,1,2010
CUSTOMER 1845,0,2010
CUSTOMER 1858,5398283,2010
CUSTOMER 1859,0,2010
CUSTOMER 1869,696796,2010
CUSTOMER 1870,782,2010
CUSTOMER 1872,4549,2010
CUSTOMER 1876,0,2010
CUSTOMER 1879,879575,2010
CUSTOMER 1883,5245,2010
CUSTOMER 1884,43372,2010
CUSTOMER 1885,61743,2010
CUSTOMER 1887,0,2010
CUSTOMER 1888,103024,2010
CUSTOMER 1891,477828,2010
CUSTOMER 1892,251316,2010
CUSTOMER 1898,1,2010
CUSTOMER 1901,56630,2010
CUSTOMER 1904,158316,2010
CUSTOMER 1910,1,2010
CUSTOMER 1916,327,2010
CUSTOMER 1922,9336,2010
CUSTOMER 1925,1,2010
CUSTOMER 1925,118856,2010
CUSTOMER 1926,17508,2010
CUSTOMER 1928,76110,2010
CUSTOMER 1933,3762,2010
CUSTOMER 1934,0,2010
CUSTOMER 1935,192609,2010
CUSTOMER 1937,39869,2010
CUSTOMER 1943,0,2010
CUSTOMER 1949,903164,2010
CUSTOMER 1955,0,2010
CUSTOMER 1956,2,2010
CUSTOMER 1957,110641,2010
CUSTOMER 1958,2307,2010
CUSTOMER 1961,3275589,2010
CUSTOMER 1962,0,2010
CUSTOMER 1963,3,2010
CUSTOMER 1968,433128,2010
CUSTOMER 1969,175773,2010
CUSTOMER 1970,275,2010
CUSTOMER 1989,0,2010
CUSTOMER 1990,0,2010
CUSTOMER 1992,4,2010
CUSTOMER 1994,1020,2010
CUSTOMER 1995,27546,2010
CUSTOMER 1999,0,2010
CUSTOMER 2001,1434,2010
CUSTOMER 2002,189028,2010
CUSTOMER 2003,333957,2010
CUSTOMER 2008,188933,2010
CUSTOMER 2009,8668,2010
CUSTOMER 2011,17,2010
CUSTOMER 2014,438,2010
CUSTOMER 2015,28796,2010
CUSTOMER 2017,3295303,2010
CUSTOMER 2019,223386,2010
CUSTOMER 2025,546354,2010
CUSTOMER 2030,44996,2010
CUSTOMER 2033,0,2010
CUSTOMER 2036,5385,2010
CUSTOMER 2041,24342,2010
CUSTOMER 2043,1,2010
CUSTOMER 2047,2709,2010
CUSTOMER 2050,53966,2010
CUSTOMER 2052,2959,2010
CUSTOMER 2058,134437,2010
CUSTOMER 2059,2154185,2010
CUSTOMER 2067,30,2010
CUSTOMER 2076,64409,2010
CUSTOMER 2079,26222,2010
CUSTOMER 2084,15060,2010
CUSTOMER 2086,114566,2010
CUSTOMER 2087,4324244,2010
CUSTOMER 2092,149,2010
CUSTOMER 2093,239539,2010
CUSTOMER 2105,557,2010
CUSTOMER 2106,1605507,2010
CUSTOMER 2108,0,2010
CUSTOMER 2109,2145092,2010
CUSTOMER 2110,20,2010
CUSTOMER 2111,23459,2010
CUSTOMER 2115,1257,2010
CUSTOMER 2116,516948,2010
CUSTOMER 2119,306559,2010
CUSTOMER 2123,105418,2010
CUSTOMER 2123,86861,2010
CUSTOMER 2127,619806,2010
CUSTOMER 2129,0,2010
CUSTOMER 2130,47346,2010
CUSTOMER 2132,390077,2010
CUSTOMER 2137,8218,2010
CUSTOMER 2139,402,2010
CUSTOMER 2140,1980028,2010
CUSTOMER 2143,326258,2010
CUSTOMER 2147,6546564,2010
CUSTOMER 2150,20746,2010
CUSTOMER 2151,5355,2010
CUSTOMER 2153,295,2010
CUSTOMER 2157,1149012,2010
CUSTOMER 2159,222391,2010
CUSTOMER 2165,1186,2010
CUSTOMER 2169,263338,2010
CUSTOMER 2170,11680,2010
CUSTOMER 2171,1460,2010
CUSTOMER 2175,5897,2010
CUSTOMER 2177,1,2010
CUSTOMER 2180,109,2010
CUSTOMER 2186,98,2010
CUSTOMER 2187,7066,2010
CUSTOMER 2191,21607,2010
CUSTOMER 2193,5,2010
CUSTOMER 2195,4,2010
CUSTOMER 2196,80490,2010
CUSTOMER 2204,50291,2010
CUSTOMER 2205,178968,2010
CUSTOMER 2206,11279,2010
CUSTOMER 2208,303,2010
CUSTOMER 2210,279560,2010
CUSTOMER 2212,1,2010
CUSTOMER 2214,1,2010
CUSTOMER 2215,0,2010
CUSTOMER 2216,625021,2010
CUSTOMER 2221,19152,2010
CUSTOMER 2223,2722840,2010
CUSTOMER 2225,324102,2010
CUSTOMER 2227,3684,2010
CUSTOMER 2229,199115,2010
CUSTOMER 2230,5,2010
CUSTOMER 2234,3001,2010
CUSTOMER 2244,0,2010
CUSTOMER 2246,66455,2010
CUSTOMER 2247,22172,2010
CUSTOMER 2249,915779,2010
CUSTOMER 2250,145005,2010
CUSTOMER 2255,29071,2010
CUSTOMER 2261,0,2010
CUSTOMER 2265,20954,2010
CUSTOMER 2267,3107530,2010
CUSTOMER 2268,64643,2010
CUSTOMER 2273,0,2010
CUSTOMER 2279,937,2010
CUSTOMER 2281,1,2010
CUSTOMER 2282,3507184,2010
CUSTOMER 2285,7504,2010
CUSTOMER 2286,25227,2010
CUSTOMER 2289,0,2010
CUSTOMER 2290,87,2010
CUSTOMER 2299,81,2010
CUSTOMER 2303,17218,2010
CUSTOMER 2309,101660,2010
CUSTOMER 2323,0,2010
CUSTOMER 2324,3654287,2010
CUSTOMER 2325,40054,2010
CUSTOMER 2329,0,2010
CUSTOMER 2330,10883,2010
CUSTOMER 2331,3813216,2010
CUSTOMER 2333,1618,2010
CUSTOMER 2334,123461,2010
CUSTOMER 2336,404319,2010
CUSTOMER 2339,0,2010
CUSTOMER 2340,0,2010
CUSTOMER 2342,4348772,2010
CUSTOMER 2345,352080,2010
CUSTOMER 2345,472061,2010
CUSTOMER 2346,0,2010
CUSTOMER 2348,0,2010
CUSTOMER 2349,41992,2010
CUSTOMER 2362,2595,2010
CUSTOMER 2365,1351,2010
CUSTOMER 2366,27,2010
CUSTOMER 2370,19,2010
CUSTOMER 2371,0,2010
CUSTOMER 2376,818,2010
CUSTOMER 2380,0,2010
CUSTOMER 2382,46779,2010
CUSTOMER 2385,10693,2010
CUSTOMER 2387,41220,2010
CUSTOMER 2388,39366,2010
CUSTOMER 2389,16722,2010
CUSTOMER 2390,47,2010
CUSTOMER 2394,59298,2010
CUSTOMER 2396,15195935,2010
CUSTOMER 2397,1,2010
CUSTOMER 2398,0,2010
CUSTOMER 2400,0,2010
CUSTOMER 2403,238469,2010
CUSTOMER 2404,139,2010
CUSTOMER 2405,0,2010
CUSTOMER 2406,466995,2010
CUSTOMER 2411,1095363,2010
CUSTOMER 2416,17981,2010
CUSTOMER 2418,164836,2010
CUSTOMER 2421,300171,2010
CUSTOMER 2428,768312,2010
CUSTOMER 2437,635197,2010
CUSTOMER 2443,34755,2010
CUSTOMER 2444,31211,2010
CUSTOMER 2449,907391,2010
CUSTOMER 2453,110,2010
CUSTOMER 2456,177388,2010
CUSTOMER 2457,7376,2010
CUSTOMER 2460,0,2010
CUSTOMER 2465,784741,2010
CUSTOMER 2466,0,2010
CUSTOMER 2468,56,2010
CUSTOMER 2472,61150,2010
CUSTOMER 2475,15,2010
CUSTOMER 2476,10,2010
CUSTOMER 2480,98,2010
CUSTOMER 2485,3,2010
CUSTOMER 2497,0,2010
CUSTOMER 2500,24,2010
CUSTOMER 2510,1,2010
CUSTOMER 2512,0,2010
CUSTOMER 2513,2,2010
CUSTOMER 2517,9842,2010
CUSTOMER 2518,0,2010
CUSTOMER 2519,308,2010
CUSTOMER 2520,0,2010
CUSTOMER 2521,0,2010
